x,y,cluID,if_core,frameID
118.890724,35.066002,-1,False,0
118.96469,35.360224,-1,False,0
118.987472,35.332613,-1,False,0
118.687658,35.221191,-1,False,0
118.84228,35.103393,-1,False,0
119.0499,35.372139,-1,False,0
118.949297,35.062109,-1,False,0
118.686385,35.545919,-1,False,0
118.832394,35.120496,-1,False,0
118.854702,35.07208,-1,False,0
118.872657,35.0586,-1,False,0
118.939196,35.108822,-1,False,0
118.904553,35.108924,-1,False,0
118.976514,35.044747,-1,False,0
118.857521,35.085312,-1,False,0
118.852271,35.127268,-1,False,0
118.836106,35.092167,-1,False,0
118.942851,35.047714,-1,False,0
118.872786,35.056709,-1,False,0
118.921581,35.07205,-1,False,0
118.912862,35.092063,-1,False,0
118.922741,35.076456,-1,False,0
118.93154,35.589955,-1,False,0
118.927825,35.370997,-1,False,0
118.89171,35.124498,-1,False,0
118.890032,35.094553,-1,False,0
118.913801,35.074783,-1,False,0
118.914553,35.025392,-1,False,0
118.920612,35.010522,-1,False,0
118.925049,35.128011,-1,False,0
118.933938,35.017046,-1,False,0
118.978042,35.13998,-1,False,0
118.802085,35.421937,-1,False,0
118.946214,35.128335,-1,False,0
118.901998,35.07075,-1,False,0
118.891463,35.006652,-1,False,1
118.879383,35.045885,-1,False,1
118.793873,35.070527,-1,False,1
118.908088,35.07852,-1,False,1
119.008906,35.057246,-1,False,1
118.967901,35.001933,-1,False,1
119.077373,35.074613,-1,False,1
118.966277,35.028157,-1,False,1
118.965932,35.031135,-1,False,1
118.36343,35.119578,-1,False,1
118.859208,35.263483,-1,False,1
118.988184,35.048301,-1,False,1
118.956869,35.393527,-1,False,1
118.944944,35.087206,-1,False,1
118.823503,35.216306,-1,False,1
118.987573,35.059421,-1,False,1
118.853603,35.261964,-1,False,1
118.937125,35.086845,-1,False,1
118.973877,35.028108,-1,False,1
118.760723,35.383763,-1,False,1
118.97389,35.024611,-1,False,1
118.990405,35.039513,-1,False,1
118.681779,35.348612,-1,False,1
119.114688,35.120898,-1,False,1
120.945847,35.427632,-1,False,1
118.955838,35.071586,-1,False,1
119.088864,35.078785,-1,False,1
118.978457,35.055882,-1,False,1
118.958271,35.048747,-1,False,1
118.943373,35.051446,-1,False,1
118.960029,35.030473,-1,False,2
119.105734,35.185042,-1,False,2
118.96612,35.079404,-1,False,2
118.024196,35.302706,-1,False,2
118.993887,35.032556,-1,False,2
119.017792,35.046999,-1,False,2
119.012048,35.025572,-1,False,2
118.140822,36.948325,-1,False,11
118.040513,36.518711,-1,False,13
118.091773,36.575559,-1,False,13
118.106488,36.526715,-1,False,13
118.13322,36.52176,-1,False,13
118.082976,36.518659,-1,False,13
118.029091,36.499813,-1,False,13
118.045957,36.512507,-1,False,14
118.037369,36.512744,-1,False,14
118.023235,36.491999,-1,False,14
118.044419,36.516562,-1,False,14
118.035996,36.508678,-1,False,14
118.036104,36.515455,-1,False,14
118.032883,36.514093,-1,False,14
118.026786,36.498641,-1,False,14
118.013214,36.502706,-1,False,14
118.087971,36.529854,-1,False,14
118.043574,36.516197,-1,False,14
118.1202,36.560721,-1,False,14
118.080217,36.493937,-1,False,14
118.082903,36.644079,-1,False,14
118.079411,36.482033,-1,False,14
118.110543,36.501037,-1,False,14
118.090638,36.618948,-1,False,15
118.004866,36.54966,-1,False,15
118.071659,36.553732,-1,False,15
118.07095,36.559101,-1,False,15
118.048738,36.537164,-1,False,15
118.063314,36.549379,-1,False,15
118.044666,36.527724,-1,False,15
118.365672,36.696374,-1,False,15
118.487887,36.84882,-1,False,15
118.037309,36.538848,-1,False,15
118.349977,36.699318,-1,False,15
118.464578,36.86173,-1,False,15
118.098009,36.530337,-1,False,15
118.527121,35.85683,-1,False,16
118.558149,36.900767,-1,False,16
118.060854,36.53415,-1,False,16
118.005325,36.528207,-1,False,16
118.123033,36.530332,-1,False,16
118.08475,36.549971,-1,False,16
118.080813,36.539864,-1,False,16
118.078532,36.530954,-1,False,16
118.13837,36.526592,-1,False,16
118.024718,36.497899,-1,False,16
118.104811,36.505569,-1,False,16
118.092288,36.502071,-1,False,16
118.129262,36.421011,-1,False,16
118.100682,36.502994,-1,False,16
118.09976,36.496002,-1,False,16
118.065986,36.461935,-1,False,16
118.093215,36.498854,-1,False,16
118.076745,36.473351,-1,False,16
118.094766,36.500005,-1,False,16
118.10931,36.440706,-1,False,16
118.110796,36.540058,-1,False,16
118.31807,36.718958,-1,False,16
118.108559,36.540111,-1,False,16
118.096002,36.521144,-1,False,16
118.115137,36.531092,-1,False,16
118.096897,36.560821,-1,False,16
118.125336,36.539129,-1,False,16
118.058522,36.55627,-1,False,16
118.062566,36.574923,-1,False,16
118.05445,36.564146,-1,False,16
118.035378,36.532516,-1,False,16
118.086838,36.551577,-1,False,16
118.07657,36.578801,-1,False,16
118.051567,36.57028,-1,False,16
118.055429,36.574094,-1,False,16
118.054771,36.572384,-1,False,16
118.063694,36.578332,-1,False,16
118.056122,36.563912,-1,False,16
118.042585,36.551193,-1,False,16
118.035231,36.537358,-1,False,16
118.055411,36.569688,-1,False,16
118.062169,36.567304,-1,False,16
118.067407,36.579524,-1,False,16
