x0,y0,a,b,phi,cluID,frameID
-1.0,-1.0,-1.0,-1.0,-1.0,-1,225
-1.0,-1.0,-1.0,-1.0,-1.0,-1,226
-1.0,-1.0,-1.0,-1.0,-1.0,-1,227
-1.0,-1.0,-1.0,-1.0,-1.0,-1,228
-1.0,-1.0,-1.0,-1.0,-1.0,-1,229
-1.0,-1.0,-1.0,-1.0,-1.0,-1,230
-1.0,-1.0,-1.0,-1.0,-1.0,-1,231
-1.0,-1.0,-1.0,-1.0,-1.0,-1,232
-1.0,-1.0,-1.0,-1.0,-1.0,-1,233
-1.0,-1.0,-1.0,-1.0,-1.0,-1,234
-1.0,-1.0,-1.0,-1.0,-1.0,-1,235
-1.0,-1.0,-1.0,-1.0,-1.0,-1,236
-1.0,-1.0,-1.0,-1.0,-1.0,-1,237
-1.0,-1.0,-1.0,-1.0,-1.0,-1,238
-1.0,-1.0,-1.0,-1.0,-1.0,-1,239
-1.0,-1.0,-1.0,-1.0,-1.0,-1,240
-1.0,-1.0,-1.0,-1.0,-1.0,-1,241
-1.0,-1.0,-1.0,-1.0,-1.0,-1,242
-1.0,-1.0,-1.0,-1.0,-1.0,-1,243
-1.0,-1.0,-1.0,-1.0,-1.0,-1,244
-1.0,-1.0,-1.0,-1.0,-1.0,-1,245
-1.0,-1.0,-1.0,-1.0,-1.0,-1,246
-1.0,-1.0,-1.0,-1.0,-1.0,-1,247
-1.0,-1.0,-1.0,-1.0,-1.0,-1,248
-1.0,-1.0,-1.0,-1.0,-1.0,-1,249
-1.0,-1.0,-1.0,-1.0,-1.0,-1,250
-1.0,-1.0,-1.0,-1.0,-1.0,-1,251
-1.0,-1.0,-1.0,-1.0,-1.0,-1,252
-1.0,-1.0,-1.0,-1.0,-1.0,-1,253
-1.0,-1.0,-1.0,-1.0,-1.0,-1,254
-1.0,-1.0,-1.0,-1.0,-1.0,-1,255
-1.0,-1.0,-1.0,-1.0,-1.0,-1,256
-1.0,-1.0,-1.0,-1.0,-1.0,-1,257
-1.0,-1.0,-1.0,-1.0,-1.0,-1,258
-1.0,-1.0,-1.0,-1.0,-1.0,-1,259
-1.0,-1.0,-1.0,-1.0,-1.0,-1,260
-1.0,-1.0,-1.0,-1.0,-1.0,-1,261
-1.0,-1.0,-1.0,-1.0,-1.0,-1,262
-1.0,-1.0,-1.0,-1.0,-1.0,-1,263
-1.0,-1.0,-1.0,-1.0,-1.0,-1,264
-1.0,-1.0,-1.0,-1.0,-1.0,-1,265
-1.0,-1.0,-1.0,-1.0,-1.0,-1,266
-1.0,-1.0,-1.0,-1.0,-1.0,-1,267
-1.0,-1.0,-1.0,-1.0,-1.0,-1,268
-1.0,-1.0,-1.0,-1.0,-1.0,-1,269
-1.0,-1.0,-1.0,-1.0,-1.0,-1,270
-1.0,-1.0,-1.0,-1.0,-1.0,-1,271
-1.0,-1.0,-1.0,-1.0,-1.0,-1,272
-1.0,-1.0,-1.0,-1.0,-1.0,-1,273
-1.0,-1.0,-1.0,-1.0,-1.0,-1,274
-1.0,-1.0,-1.0,-1.0,-1.0,-1,275
-1.0,-1.0,-1.0,-1.0,-1.0,-1,276
-1.0,-1.0,-1.0,-1.0,-1.0,-1,277
-1.0,-1.0,-1.0,-1.0,-1.0,-1,278
-1.0,-1.0,-1.0,-1.0,-1.0,-1,279
-1.0,-1.0,-1.0,-1.0,-1.0,-1,280
-1.0,-1.0,-1.0,-1.0,-1.0,-1,281
-1.0,-1.0,-1.0,-1.0,-1.0,-1,282
-1.0,-1.0,-1.0,-1.0,-1.0,-1,283
-1.0,-1.0,-1.0,-1.0,-1.0,-1,284
-1.0,-1.0,-1.0,-1.0,-1.0,-1,285
-1.0,-1.0,-1.0,-1.0,-1.0,-1,286
-1.0,-1.0,-1.0,-1.0,-1.0,-1,287
-1.0,-1.0,-1.0,-1.0,-1.0,-1,288
-1.0,-1.0,-1.0,-1.0,-1.0,-1,289
-1.0,-1.0,-1.0,-1.0,-1.0,-1,290
-1.0,-1.0,-1.0,-1.0,-1.0,-1,291
-1.0,-1.0,-1.0,-1.0,-1.0,-1,292
-1.0,-1.0,-1.0,-1.0,-1.0,-1,293
-1.0,-1.0,-1.0,-1.0,-1.0,-1,294
-1.0,-1.0,-1.0,-1.0,-1.0,-1,295
-1.0,-1.0,-1.0,-1.0,-1.0,-1,296
-1.0,-1.0,-1.0,-1.0,-1.0,-1,297
-1.0,-1.0,-1.0,-1.0,-1.0,-1,298
